"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000211456",4.36083845607815,1.16150119673457,0.857421405502193,11.6156605675126,0.00300394070560229,0.0256008921031939,"SACM1L"
"ENSG00000235888",1.8535941480252,1.16114319828692,1.19288541591095,9.73629345069187,0.00768759932701282,0.0453403049371,NA
"ENSG00000134571",6.35975167342966,1.16067150334435,0.905483739310768,15.4451424361583,0.000442720807454055,0.0076305495607761,"MYBPC3"
"ENSG00000167658",34.7952274014462,1.15891240023395,0.791033017825747,56.2148576143171,6.21010250197976e-13,1.10084417018428e-09,"EEF2"
"ENSG00000148908",3.63948310627417,1.15882180825851,1.18736046110703,16.839146470015,0.000220508738162546,0.00480600602273943,"RGS10"
"ENSG00000148719",4.17069649753221,1.15658579034563,0.916567813204218,18.5088427262945,9.56876455789911e-05,0.002589582892373,"DNAJB12"
"ENSG00000265241",16.791898925876,1.15618317794764,1.28046834588159,25.7572785303296,2.55198450255981e-06,0.000152488242523742,"RBM8A"
"ENSG00000117724",9.13592988521423,1.1556344124712,1.24990368497719,10.2871023353281,0.0058369249664102,0.0387363980507938,"CENPF"
"ENSG00000133454",3.79022131545521,1.14609438411678,0.914385052112388,10.5084996897355,0.00522526458117546,0.0361665384503572,"MYO18B"
"ENSG00000163075",4.51472447552604,1.1456334742819,0.966853130765793,12.1445364643213,0.00230593687405554,0.0215923494628797,"CFAP221"
"ENSG00000134160",2.70343218497237,1.14522693823011,0.877708093008675,10.3435029733197,0.00567462108696899,0.0380693855845326,"TRPM1"
"ENSG00000182670",17.8012888007161,1.14437497161763,0.893024121131453,41.2137316954049,1.12344514824995e-09,2.98724064919662e-07,"TTC3"
"ENSG00000159692",9.4195446760674,1.14247032230406,0.591539678877143,10.0744985672404,0.00649158027791515,0.0408917522157452,"CTBP1"
"ENSG00000112335",4.69303691247776,1.133786499943,1.46072894874579,18.3941458526865,0.000101335584871813,0.00270352495158011,"SNX3"
"ENSG00000182054",16.9247987071819,1.13190420804304,1.20364184292546,29.4127293203093,4.10305160516547e-07,3.5757881744795e-05,"IDH2"
"ENSG00000279840",3.32950142842722,1.13174096950128,1.7108765875922,10.2200796325481,0.00603584259405222,0.0394170416477729,NA
"ENSG00000164488",17.678862550846,1.13052582981589,0.94598387547406,17.1562608486717,0.00018817645887145,0.00427659148836911,"DACT2"
"ENSG00000165929",16.2941446864427,1.12486866820671,1.23340839988773,36.2940846283381,1.31473934569836e-08,1.96497436524845e-06,"TC2N"
"ENSG00000075426",17.7372336944611,1.12362543065336,1.07354825148618,31.2564785306197,1.63208181275244e-07,1.6237330119241e-05,"FOSL2"
"ENSG00000136068",7.45356286079229,1.11592977189381,0.58416475554618,12.8659394232179,0.00160766942374413,0.0172621895159749,"FLNB"
"ENSG00000198646",2.70930124144259,1.1139076358063,0.79681541391388,13.9478130597897,0.000935989284351283,0.0123666387542544,"NCOA6"
